"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Customweb_OPPCw::Austria","Austria (AT)"
"Customweb_OPPCw::Author","Autore"
"Customweb_OPPCw::Authorization Amount","Importo autorizzazione"
"Customweb_OPPCw::Authorization Failed","Autorizzazione non riuscita"
"Customweb_OPPCw::Authorization Method","Metodo di autorizzazione"
"Customweb_OPPCw::Authorization is uncertain.","Autorizzazione incerta"
"Customweb_OPPCw::Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Customweb_OPPCw::Authorized Status","Status autorizzato"
"Customweb_OPPCw::Await Notification","Attendi la notifica"
"Customweb_OPPCw::Awaiting confirmation","In attesa di conferma"
"Customweb_OPPCw::BIC","BIC"
"Customweb_OPPCw::BIC: !bic","BIC: !bic"
"Customweb_OPPCw::Bad signature format.","Bad signature format."
"Customweb_OPPCw::Bancontact","Bancontact"
"Customweb_OPPCw::Bank Code: !bank","Codice Banca: !bank"
"Customweb_OPPCw::Bank Country: !country","Paese della banca: !country"
"Customweb_OPPCw::Bank Location","Posizione della banca"
"Customweb_OPPCw::Bank Name","Nome della banca"
"Customweb_OPPCw::Bank account number","Numero IBAN"
"Customweb_OPPCw::Bank code number","Numero del codice bancario"
"Customweb_OPPCw::Bank data","Bank data"
"Customweb_OPPCw::Basic","Basic"
"Customweb_OPPCw::Before payment selection","Prima della selezione del pagamento"
"Customweb_OPPCw::Before showing payment method","Before showing payment method"
"Customweb_OPPCw::Belgium","Belgio (BE)"
"Customweb_OPPCw::Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Accanto al channel id standard si possono indicare una serie di channel id a seconda della somma totale dell'ordine. Ogni riga deve contenere un importo inferiore, un importo superiore e il channel id applicabile. Il formato deve essere 'importo inferiore; importo superiore; channel id'. L'esempio seguente si visualizza: '10.00;200.00;23413113213131231353' I confini superiori non sono inclusi. Se si lascia vuoto questo campo, o se un'importo é fuori di ogni intervallo viene applicata il channel id predefinito. Se più condizioni corrispondono, l'ultima sarà presa."
"Customweb_OPPCw::BillSAFE","BillSAFE"
"Customweb_OPPCw::BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Customweb_OPPCw::Billing Address","Billing Address"
"Customweb_OPPCw::Billing Information","Dati di fatturazione"
"Customweb_OPPCw::Billing address","indirizzo di fatturazione"
"Customweb_OPPCw::Boni score result","Boni score result"
"Customweb_OPPCw::Brand","Brand"
"Customweb_OPPCw::Brand Code","Brand Code"
"Customweb_OPPCw::Brand Name","Brand Name"
"Customweb_OPPCw::Buy","Buy"
"Customweb_OPPCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_OPPCw::COPYandPAY Style","COPYandPAY Style"
"Customweb_OPPCw::CVC Code","Codice CVC"
"Customweb_OPPCw::CVC:","CVC:"
"Customweb_OPPCw::Cache Timeout","Cache Timeout"
"Customweb_OPPCw::Cancel","Interrompere"
"Customweb_OPPCw::Cancel ID","Cancel ID"
"Customweb_OPPCw::Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Customweb_OPPCw::Cancel status","Status di cancellazione"
"Customweb_OPPCw::Canceled OPPCw","____ModuleCamel___ annullato"
"Customweb_OPPCw::Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Customweb_OPPCw::Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Customweb_OPPCw::Cancelled Status","Status annullato"
"Customweb_OPPCw::Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Customweb_OPPCw::Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Customweb_OPPCw::Capture (Don't Close)","Registrazione (Non chiudere)"
"Customweb_OPPCw::Capture Amount","Capture Amount"
"Customweb_OPPCw::Capture ID","Capture ID"
"Customweb_OPPCw::Capture amount","Importo contabilizzato"
"Customweb_OPPCw::Capture information","Informazione della contabilizzazione"
"Customweb_OPPCw::Capture status","Status di registrazione"
"Customweb_OPPCw::Captured Amount","Importo riconosciuto"
"Customweb_OPPCw::Captured Status","Status registrato"
"Customweb_OPPCw::Captures","Acquisizione"
"Customweb_OPPCw::Captures & Refunds","Registrazioni & Rimborsi"
"Customweb_OPPCw::Capturing","Contabilizzare"
"Customweb_OPPCw::Card","Card"
"Customweb_OPPCw::Card Brand","Card Brand"
"Customweb_OPPCw::Card CVC/2","Card CVC/2"
"Customweb_OPPCw::Card Expiration","Carta di data di scadenza"
"Customweb_OPPCw::Card Expiry","Data di scadenza della carta"
"Customweb_OPPCw::Card Holder Name","Titolari di carte"
"Customweb_OPPCw::Card Number","Numero di carta"
"Customweb_OPPCw::Card Type","Tipo di scheda"
"Customweb_OPPCw::Card to use","Card to use"
"Customweb_OPPCw::Cardnumber:","Cardnumber:"
"Customweb_OPPCw::Cardtype:","Cardtype:"
"Customweb_OPPCw::Carrier Title","Titolo del trasportatore"
"Customweb_OPPCw::Carte Bleue","Carte Bleue"
"Customweb_OPPCw::Channel Conditions","Condizioni di canale"
"Customweb_OPPCw::Channel ID","Channel ID"
"Customweb_OPPCw::Channel ID (MoTo)","Channel ID (MoTo)"
"Customweb_OPPCw::Channel ID (No 3D secure)","Channel ID (senza 3D secure)"
"Customweb_OPPCw::Check out faster","Effettua il checkout più velocemente"
"Customweb_OPPCw::Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Customweb_OPPCw::Checkout","Checkout"
"Customweb_OPPCw::Checkout as Guest","Checkout come ospite"
"Customweb_OPPCw::Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Customweb_OPPCw::Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Customweb_OPPCw::Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Customweb_OPPCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione"
"Customweb_OPPCw::City","City"
"Customweb_OPPCw::Classes","Classes"
"Customweb_OPPCw::Color","Color"
"Customweb_OPPCw::Company Commercial Number","Numero commerciale dell'azienda"
"Customweb_OPPCw::Company VAT Number","Company VAT Number"
"Customweb_OPPCw::Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Customweb_OPPCw::Confirm Mandate","Confirm Mandate"
"Customweb_OPPCw::Confirm Password","Conferma la password"
"Customweb_OPPCw::Connector Test Mode","Connector Modalità Test"
"Customweb_OPPCw::Connector Transaction ID","Connector Transaction ID"
"Customweb_OPPCw::Consumer score type invalid.","Consumer score type invalid."
"Customweb_OPPCw::Continue","Continua"
"Customweb_OPPCw::Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Customweb_OPPCw::Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Customweb_OPPCw::Could not add proposed address changes.","Could not add proposed address changes."
"Customweb_OPPCw::Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Customweb_OPPCw::Could not execute scheduled update.","Could not execute scheduled update."
"Customweb_OPPCw::Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Customweb_OPPCw::Could not find an adapter for the authoriztion method !methodName.","Impossibile trovare un adattatore per il metodo di autorizzazione !methodName."
"Customweb_OPPCw::Could not find pressed button.","Impossibile trovare il pulsante premuto."
